Image,ID,StemW,StemL,BladeL,MaxL,Cache,Class,StemCZ,lnBCZ,BladeCZ
AZESC02S,0,32,37,59,96,Other,L,6.993373034,2.0576255,7.827361656
AZLEH09S,1,29,23,64,87,Other,L,5.317395778,2.0400025,7.690628425
AZLEH13S,2,26,37,60,97,Other,M,6.450819171,1.9658517,7.140991984
AZLEH15W,3,24,27,35,62,Other,M,5.441384615,1.603367,4.969737392
AZLEH16W,4,21,22,34,56,Other,M,4.411670755,1.5140217,4.544972605
AZLEH17W,5,24,20,32,52,Other,M,4.549579865,1.4537819,4.279267714
AZLEH19W,6,13,17,20,37,Other,S,3.117898918,0.9845917,2.676718757
AZLEH20W,7,15,12,19.01,31.01,Other,S,2.87316844,0.958126,2.606806737
AZLEH21W,8,18,14,32.32,46.32,Other,S,3.505172796,1.4280696,4.170640412
AZLEH4W,9,20,30,53,83,Other,M,5.241610609,1.8823713,6.569063628
AZLEH7W,10,22,33,41,74,Other,M,5.635347216,1.6758429,5.343297117
AZLEK1S,11,30,46,49,95,Other,L,7.583255439,1.8353787,6.267507201
AZMS11W,12,28,31,44,75,Other,L,5.958020649,1.7735318,5.8916247
AZMS12W,13,14,21,22,43,Other,S,3.846272995,1.1366161,3.116205576
AZMS14W,14,22,19,31,50,Other,M,4.085460659,1.4413506,4.22640014
AZNA13W,16,25,34,51,85,Other,M,6.017825133,1.7899115,5.988922423
AZNA6W,17,15,24,48,72,Other,S,4.376302298,1.7557238,5.787635317
AZNAC01S,18,31,28,48,76,Other,L,6.066573701,1.8643202,6.451548632
AZNAC03S,19,22,27,31,58,Other,M,4.885325449,1.4348464,4.198999993
AZNAC06S,20,27,27,70,97,Other,L,5.594765259,2.098038,8.150163595
AZNAC07S,21,27,38,65,103,Other,L,6.490964299,2.0262152,7.585323031
AZSHK01S,22,15,17,29,46,Other,S,3.511117962,1.3759974,3.959023484
CODEN01S,23,27,40,76,116,Other,L,6.688864673,2.1254616,8.37676331
CODEN02W,24,27,32,65,97,Other,L,6.437597781,1.9949363,7.351734707
CODEN03W,25,28,33,56.58,89.58,Other,L,6.456629746,1.9783897,7.231089382
CODRK01S,26,34,28,90,118,Cache,O,6.700225074,2.341683,10.39872289
CODRK02S,27,32,41,105,146,Cache,O,7.465615096,2.4007329,11.03125823
CODRK03S,28,28,23,70,93,Cache,O,5.451355019,2.0753878,7.967635709
CODRK04S,29,27,30,134,164,Cache,O,6.97865598,2.6393315,14.00383891
CODRK05S,30,34,30,64,94,Cache,O,6.533696806,2.054975,7.806642704
CODRK07S,31,34,27,123,150,Cache,O,6.276473884,2.5340566,12.60453412
CODRK08S,32,33,34,78,112,Cache,O,6.943974502,2.1739443,8.792897559
CODRK09S,33,34,26,81,107,Cache,O,6.515216425,2.2441332,9.43223615
CODRK010S,34,29,34,78,112,Cache,O,6.681800714,2.1914575,8.948245683
CODRK011S,35,40,30,104,134,Cache,O,7.665913854,2.4875024,12.03118947
CODRK012S,36,33,27,103,130,Cache,O,6.24294714,2.4170653,11.21290447
CODRK013S,37,34,27,108,135,Cache,O,6.534342429,2.4480509,11.56578187
IARM1W,38,23,39,68,107,Cache,O,6.350657006,2.059863,7.844894986
IARM2W,39,20,36,47,83,Cache,O,5.858757921,1.8045533,6.077256132
IARM4W,40,25,37,62,99,Cache,O,6.173387062,2.1038611,8.197761261
IDSIM01S,41,30,25,68.7,93.7,Cache,O,5.934318037,2.167631,8.737560223
MOKM1W,42,21,28,74,102,Other,M,4.911477692,2.1080435,8.232119377
MTANZ01S,43,33,42,111,153,Cache,O,7.925841806,2.4412346,11.48721411
MTANZ02S,44,33,38,68,106,Cache,O,7.354608761,2.1350558,8.457518423
MTANZ03S,45,31,33,56,89,Cache,O,6.609744807,1.9579821,7.085015777
MTANZ04S,46,30,31,63,94,Cache,O,6.223005665,2.0163499,7.51085945
MTANZ05S,47,25,24,60,84,Cache,O,5.270516945,1.9538015,7.055457988
NMBWD03S,48,16,12,44,56,Other,S,3.041469045,1.5741719,4.826742937
NMBWD07S,49,18,14,25,39,Other,S,3.246188821,1.1270491,3.086534992
NMBWD08S,50,20,7,32,39,Other,Min,3.298326912,1.3954984,4.036986105
NMBWD09S,51,15,5,24,29,Other,Min,2.487701979,1.1644929,3.204297572
NMBWD10W,52,25,13,32,59,Other,M,3.321192901,1.6505663,5.209929375
NMBWD11S,53,13,4,23,27,Other,MIn,2.208834999,1.1384932,3.122060498
NMBWD12W,54,30,33,80,113,Other,L,6.727893795,2.2209373,9.215964943
NMBWD13S,55,24,26,55,81,Other,M,5.094393533,1.8720012,6.501293779
NMBWD14S,56,17,11,31,42,Other,S,3.208153141,1.3885255,4.008934519
NMBWD15S,57,27,45,66,111,Other,L,7.049547207,2.0454802,7.732870971
NMBWD1W,58,21,25,80,105,Other,M,4.741315921,2.1439845,8.533371197
NMBWD24S,59,33,30,53,83,Other,L,6.746757352,1.9394783,6.955121537
NMBWD25S,60,32,35,76,111,Other,L,7.064734614,2.1869436,8.907945221
NMBWD26S,61,22,13,27,40,Other,M,3.899469214,1.3200503,3.743609676
NMBWD29S,62,18,23,34,57,Other,S,4.445276154,1.5026933,4.493775873
NMBWD2W,63,16,17,33.5,50.5,Other,S,3.570434909,1.4527012,4.274645607
NMBWD4W,64,22,14,34,48,Other,M,4.156430056,1.5189729,4.567531474
NMBWD5W,65,11,11,27,38,Other,S,2.324459738,1.1659645,3.209016487
NMBWD8W,66,21,15,30,45,Other,M,3.941137343,1.429511,4.176656308
NMBWD9W,67,18,12,31.5,43.5,Other,S,3.71467248,1.4456561,4.244636135
OKDB2W,68,18,25,42,67,Other,S,4.283053141,1.6138627,5.022172957
OKDB3W,69,21,33,49,82,Other,M,5.638028332,1.745132,5.726657344
OKJBF02S,70,23,22,35,57,Other,M,4.762325525,1.5566281,4.742801999
OKJBF03S,71,15,15,27,42,Other,S,3.138600317,1.2110908,3.357144629
ORDTZ1S,72,23,28,57,85,Other,M,5.58676077,1.8673289,6.470988636
ORDT2W,73,21,24,37.11,61.11,Other,M,4.752933753,1.6472069,5.192456504
ORDZ4W,74,26,13,22,35,Other,M,4.255462402,1.2814711,3.601934636
SDLF1W,75,17,16,20,36,Other,S,3.620213539,1.5479957,4.70203644
SDLGF2S,76,18,14,40,54,Other,S,3.232330866,1.2714096,3.565875479
TXGLT10W,77,21,32,28.82,60.82,Other,M,5.27268769,1.3414786,3.82469452
TXGLT11W,78,17,22,34.67,56.67,Other,S,3.96821701,1.3791101,3.971365936
TXGLT13W,79,21,19,37.48,56.48,Other,M,4.161002446,1.5565603,4.742480448
TXGLT1S,80,27,41,53,94,Other,L,7.088498416,1.8487629,6.351956654
TXGLT2S,81,23,27,55,82,Other,M,5.097414573,1.9159271,6.793233886
TXGLT3S,82,28,29,72,101,Other,L,5.902436727,2.1458543,8.549341821
TXGLT4W,83,14,25,38.51,63.51,Other,S,4.250752718,1.4895122,4.434931632
TXGLT5W,84,24,31,40.39,71.39,Other,M,5.59286915,1.6086884,4.996253842
TXGLT7W,85,14,26,46.88,72.88,Other,S,4.258138177,1.7064576,5.509410334
TXGLT9W,86,22,35,63.5,98.5,Other,M,6.097495737,1.9682324,7.158012796
TXMIA1S,87,22,31,84,115,Other,M,5.573674343,2.23487,9.345266889
TXMIA2S,88,25,28,88,116,Other,M,5.525798261,2.261186,9.594461453
WAEW3W,89,39,52,171,223,Cache,O,9.991900009,2.9206999,18.55426905
WAEW4W,90,42,69,124.06,193.06,Cache,O,11.95815655,2.6713665,14.4597149
WAEWS01S,91,45,41,189,230,Cache,O,9.584505445,3.0163593,20.41682468
WAEWS02S,92,48,59,173,232,Cache,O,11.46064599,2.9381906,18.88165093
WYCB1W,93,16,26,34,60,Other,S,4.871867323,1.460207,4.306850954
WYCBY02S,94,36,41,56,97,Other,L,7.234190215,1.9033495,6.708326393
WYCBY03S,95,26,20,45,65,Other,M,5.235930126,1.7346968,5.667209245
WYCKM01S,96,24,24,68,92,Other,M,5.219374556,2.0491178,7.761051286
WYCSP01S,97,25,27,48,75,Other,M,5.365669695,1.7735608,5.891795559
WYHEL01S,98,30,25,88,113,Other,L,6.319096145,2.2944258,9.918739037
WYHEL02S,99,32,20,67,87,Other,L,6.086999423,2.109674,8.245552796
WYSH1W,100,20,21,46,67,Other,M,4.360232516,1.7259803,5.618025682
